STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
641,Đồng Nai,Trấn Biên,"các phường Bửu Long, Quang Vinh, Trung Dũng, Thống Nhất, Hiệp Hòa và An Bình",Phường
642,Đồng Nai,Tam Hiệp,"các phường Tân Hiệp, Tân Mai, Bình Đa và Tam Hiệp",Phường
643,Đồng Nai,Long Bình,"các phường Hố Nai, Tân Biên và Long Bình",Phường
644,Đồng Nai,Trảng Dài,phường Trảng Dài và xã Thiện Tân,Phường
645,Đồng Nai,Hố Nai,phường Tân Hòa và xã Hố Nai 3,Phường
646,Đồng Nai,Long Hưng,,Phường
647,Đồng Nai,Bình Lộc,"phường Suối Tre, xã Xuân Thiện và xã Bình Lộc",Phường
648,Đồng Nai,Bảo Vinh,phường Bảo Vinh và xã Bảo Quang,Phường
649,Đồng Nai,Xuân Lập,phường Bàu Sen và phường Xuân Lập,Phường
650,Đồng Nai,Long Khánh,"các phường Xuân An, Xuân Bình, Xuân Hòa, Phú Bình và xã Bàu Trâm",Phường
651,Đồng Nai,Hàng Gòn,phường Xuân Tân và xã Hàng Gòn,Phường
652,Đồng Nai,Tân Triều,"phường Tân Phong và các xã Tân Bình, Bình Lợi, Thạnh Phú",Phường
653,Đồng Nai,Minh Hưng,phường Minh Long và phường Minh Hưng,Phường
654,Đồng Nai,Chơn Thành,"các phường Hưng Long, Thành Tâm và Minh Thành",Phường
655,Đồng Nai,Bình Long,"các phường An Lộc, Hưng Chiến, Phú Đức, xã Thanh Bình (huyện Hớn Quản)",Phường
656,Đồng Nai,An Lộc,"phường Phú Thịnh, xã Thanh Phú và xã Thanh Lương",Phường
657,Đồng Nai,Phước Bình,"phường Long Phước, phường Phước Bình, xã Bình Sơn (huyện Phú Riềng) và xã Long Giang",Phường
658,Đồng Nai,Phước Long,"các phường Long Thủy, Thác Mơ, Sơn Giang và xã Phước Tín",Phường
659,Đồng Nai,Đồng Xoài,phường Tiến Thành và xã Tân Thành (thành phố Đồng Xoài),Phường
660,Đồng Nai,Bình Phước,"các phường Tân Phú, Tân Đồng, Tân Thiện, Tân Bình, Tân Xuân và xã Tiến Hưng",Phường
661,Đồng Tháp,Tân Hồng,"thị trấn Sa Rài, xã Bình Phú (huyện Tân Hồng) và xã Tân Công Chí",Xã
662,Đồng Tháp,Tân Thành,xã Thông Bình và xã Tân Thành A,Xã
663,Đồng Tháp,Tân Hộ Cơ,xã Tân Thành B và xã Tân Hộ Cơ,Xã
664,Đồng Tháp,An Phước,xã Tân Phước (huyện Tân Hồng) và xã An Phước,Xã
665,Đồng Tháp,Thường Phước,"thị trấn Thường Thới Tiền, xã Thường Phước 1 và xã Thường Phước 2",Xã
666,Đồng Tháp,Long Khánh,xã Long Khánh A và xã Long Khánh B,Xã
667,Đồng Tháp,Long Phú Thuận,"xã Long Thuận, xã Phú Thuận A và một phần diện tích tự nhiên, quy mô dân số của xã Phú Thuận B",Xã
668,Đồng Tháp,An Hòa,xã Phú Thành B và xã An Hòa,Xã
669,Đồng Tháp,Tam Nông,xã Phú Đức và xã Phú Hiệp,Xã
670,Đồng Tháp,Phú Thọ,xã Phú Thành A và xã Phú Thọ,Xã
671,Đồng Tháp,Tràm Chim,thị trấn Tràm Chim và xã Tân Công Sính,Xã
672,Đồng Tháp,Phú Cường,"xã Phú Cường (huyện Tam Nông), xã Hòa Bình và một phần diện tích tự nhiên, quy mô dân số của xã Gáo Giồng",Xã
673,Đồng Tháp,An Long,"các xã An Phong, Phú Ninh và An Long",Xã
674,Đồng Tháp,Thanh Bình,"xã Tân Mỹ và xã Tân Phú (huyện Thanh Bình), thị trấn Thanh Bình và một phần diện tích tự nhiên, quy mô dân số của xã Tân Thạnh (huyện Thanh Bình)",Xã
675,Đồng Tháp,Tân Thạnh,xã Phú Lợi và phần còn lại của xã Tân Thạnh (huyện Thanh Bình) sau khi sắp xếp theo quy định tại khoản 14 Điều này,Xã
676,Đồng Tháp,Bình Thành,xã Bình Thành (huyện Thanh Bình) và xã Bình Tấn,Xã
677,Đồng Tháp,Tân Long,"xã Tân Bình và xã Tân Hòa (huyện Thanh Bình), các xã Tân Quới, Tân Huề, Tân Long và phần còn lại của xã Phú Thuận B sau khi sắp xếp theo quy định tại khoản 7 Điều này",Xã
678,Đồng Tháp,Tháp Mười,"thị trấn Mỹ An, xã Mỹ An và xã Mỹ Hòa",Xã
679,Đồng Tháp,Thanh Mỹ,xã Phú Điền và xã Thanh Mỹ,Xã
680,Đồng Tháp,Mỹ Quí,"các xã Láng Biển, Mỹ Đông và Mỹ Quí",Xã
681,Đồng Tháp,Đốc Binh Kiều,xã Tân Kiều và xã Đốc Binh Kiều,Xã
682,Đồng Tháp,Trường Xuân,xã Thạnh Lợi và xã Trường Xuân,Xã
683,Đồng Tháp,Phương Thịnh,xã Hưng Thạnh (huyện Tháp Mười) và xã Phương Thịnh,Xã
684,Đồng Tháp,Phong Mỹ,xã Phong Mỹ và phần còn lại của xã Gáo Giồng sau khi sắp xếp theo quy định tại khoản 12 Điều này,Xã
685,Đồng Tháp,Ba Sao,xã Phương Trà và xã Ba Sao,Xã
686,Đồng Tháp,Mỹ Thọ,"thị trấn Mỹ Thọ và các xã Mỹ Hội (huyện Cao Lãnh), Mỹ Xương, Mỹ Thọ",Xã
687,Đồng Tháp,Bình Hàng Trung,"các xã Tân Hội Trung, Bình Hàng Tây và Bình Hàng Trung",Xã
688,Đồng Tháp,Mỹ Hiệp,"xã Mỹ Long và xã Bình Thạnh (huyện Cao Lãnh), xã Mỹ Hiệp",Xã
689,Đồng Tháp,Mỹ An Hưng,"các xã Tân Mỹ (huyện Lấp Vò), Hội An Đông, Mỹ An Hưng A và Mỹ An Hưng B",Xã
690,Đồng Tháp,Tân Khánh Trung,"các xã Long Hưng A, Long Hưng B và Tân Khánh Trung",Xã
691,Đồng Tháp,Lấp Vò,"thị trấn Lấp Vò và các xã Bình Thành (huyện Lấp Vò), Vĩnh Thạnh, Bình Thạnh Trung",Xã
692,Đồng Tháp,Lai Vung,"xã Tân Thành và xã Tân Phước (huyện Lai Vung), xã Định An, xã Định Yên",Xã
693,Đồng Tháp,Hòa Long,"thị trấn Lai Vung và các xã Long Hậu, Long Thắng, Hòa Long",Xã
694,Đồng Tháp,Phong Hòa,"các xã Tân Hòa (huyện Lai Vung), Định Hòa, Vĩnh Thới và Phong Hòa",Xã
695,Đồng Tháp,Tân Dương,"các xã Tân Phú Đông, Hòa Thành và Tân Dương",Xã
696,Đồng Tháp,Phú Hựu,"thị trấn Cái Tàu Hạ và các xã An Phú Thuận, An Hiệp, An Nhơn, Phú Hựu",Xã
697,Đồng Tháp,Tân Nhuận Đông,"các xã Hòa Tân, An Khánh và Tân Nhuận Đông",Xã
698,Đồng Tháp,Tân Phú Trung,"xã Tân Bình và xã Tân Phú (huyện Châu Thành), xã Phú Long, xã Tân Phú Trung",Xã
699,Đồng Tháp,Tân Phú,"xã Tân Hội và xã Tân Phú (thị xã Cai Lậy), xã Mỹ Hạnh Đông",Xã
700,Đồng Tháp,Thanh Hưng,"các xã Tân Thanh, Tân Hưng và An Thái Trung",Xã
701,Đồng Tháp,An Hữu,"các xã Hòa Hưng, Mỹ Lương và An Hữu",Xã
702,Đồng Tháp,Mỹ Lợi,"các xã An Thái Đông, Mỹ Lợi A và Mỹ Lợi B",Xã
703,Đồng Tháp,Mỹ Đức Tây,"các xã Thiện Trí, Mỹ Đức Đông và Mỹ Đức Tây",Xã
704,Đồng Tháp,Mỹ Thiện,"các xã Mỹ Tân (huyện Cái Bè), Mỹ Trung và Thiện Trung",Xã
705,Đồng Tháp,Hậu Mỹ,"các xã Hậu Mỹ Bắc A, Hậu Mỹ Bắc B và Hậu Mỹ Trinh",Xã
706,Đồng Tháp,Hội Cư,"các xã Mỹ Hội (huyện Cái Bè), An Cư, Hậu Thành và Hậu Mỹ Phú",Xã
707,Đồng Tháp,Cái Bè,"thị trấn Cái Bè, xã Đông Hòa Hiệp và xã Hòa Khánh",Xã
708,Đồng Tháp,Mỹ Thành,"các xã Phú Nhuận, Mỹ Thành Bắc và Mỹ Thành Nam",Xã
709,Đồng Tháp,Thạnh Phú,xã Phú Cường (huyện Cai Lậy) và xã Thạnh Lộc,Xã
710,Đồng Tháp,Bình Phú,"thị trấn Bình Phú, xã Phú An và xã Cẩm Sơn",Xã
711,Đồng Tháp,Hiệp Đức,"các xã Tân Phong, Hội Xuân và Hiệp Đức",Xã
712,Đồng Tháp,Long Tiên,"các xã Mỹ Long (huyện Cai Lậy), Long Trung và Long Tiên",Xã
713,Đồng Tháp,Ngũ Hiệp,xã Tam Bình và xã Ngũ Hiệp,Xã
714,Đồng Tháp,Tân Phước 1,"thị trấn Mỹ Phước, xã Thạnh Mỹ và xã Tân Hòa Đông",Xã
715,Đồng Tháp,Tân Phước 2,"các xã Thạnh Tân, Thạnh Hòa và Tân Hòa Tây",Xã
716,Đồng Tháp,Tân Phước 3,"các xã Phước Lập, Tân Lập 1 và Tân Lập 2",Xã
717,Đồng Tháp,Hưng Thạnh,"các xã Hưng Thạnh (huyện Tân Phước), Phú Mỹ và Tân Hòa Thành",Xã
718,Đồng Tháp,Tân Hương,"các xã Tân Lý Đông, Tân Hội Đông và Tân Hương",Xã
719,Đồng Tháp,Châu Thành,"thị trấn Tân Hiệp, xã Thân Cửu Nghĩa và xã Long An",Xã
720,Đồng Tháp,Long Hưng,"các xã Tam Hiệp, Thạnh Phú và Long Hưng",Xã
721,Đồng Tháp,Long Định,"các xã Nhị Bình, Đông Hòa và Long Định",Xã
722,Đồng Tháp,Bình Trưng,xã Điềm Hy và xã Bình Trưng,Xã
723,Đồng Tháp,Vĩnh Kim,"các xã Phú Phong, Bàn Long và Vĩnh Kim",Xã
724,Đồng Tháp,Kim Sơn,"các xã Song Thuận, Bình Đức và Kim Sơn",Xã
725,Đồng Tháp,Mỹ Tịnh An,"các xã Trung Hòa, Hòa Tịnh, Tân Bình Thạnh và Mỹ Tịnh An",Xã
726,Đồng Tháp,Lương Hòa Lạc,"các xã Thanh Bình, Phú Kiết và Lương Hòa Lạc",Xã
727,Đồng Tháp,Tân Thuận Bình,"các xã Đăng Hưng Phước, Quơn Long và Tân Thuận Bình",Xã
728,Đồng Tháp,Chợ Gạo,"thị trấn Chợ Gạo, xã Long Bình Điền và xã Song Bình",Xã
729,Đồng Tháp,An Thạnh Thủy,"các xã Bình Phan, Bình Phục Nhứt và An Thạnh Thủy",Xã
730,Đồng Tháp,Bình Ninh,"các xã Xuân Đông, Hòa Định và Bình Ninh",Xã
731,Đồng Tháp,Vĩnh Bình,"thị trấn Vĩnh Bình, xã Thạnh Nhựt và xã Thạnh Trị",Xã
732,Đồng Tháp,Đồng Sơn,"các xã Bình Nhì, Đồng Thạnh và Đồng Sơn",Xã
733,Đồng Tháp,Phú Thành,"các xã Bình Phú (huyện Gò Công Tây), Thành Công và Yên Luông",Xã
734,Đồng Tháp,Long Bình,xã Bình Tân và xã Long Bình,Xã
735,Đồng Tháp,Vĩnh Hựu,xã Long Vĩnh và xã Vĩnh Hựu,Xã
736,Đồng Tháp,Gò Công Đông,xã Tân Thành (huyện Gò Công Đông) và xã Tăng Hòa,Xã
737,Đồng Tháp,Tân Điền,xã Bình Ân và xã Tân Điền,Xã
738,Đồng Tháp,Tân Hòa,"thị trấn Tân Hòa, xã Phước Trung và xã Bình Nghị",Xã
739,Đồng Tháp,Tân Đông,"các xã Tân Phước (huyện Gò Công Đông), Tân Tây và Tân Đông",Xã
740,Đồng Tháp,Gia Thuận,"thị trấn Vàm Láng, xã Kiểng Phước và xã Gia Thuận",Xã
741,Đồng Tháp,Tân Thới,"xã Tân Phú và xã Tân Thạnh (huyện Tân Phú Đông), xã Tân Thới",Xã
742,Đồng Tháp,Tân Phú Đông,"các xã Phú Thạnh, Phú Đông và Phú Tân",Xã
743,Đồng Tháp,Mỹ Tho,"Phường 1 và Phường 2 (thành phố Mỹ Tho), phường Tân Long",Phường
744,Đồng Tháp,Đạo Thạnh,"Phường 4 và Phường 5 (thành phố Mỹ Tho), xã Đạo Thạnh",Phường
745,Đồng Tháp,Mỹ Phong,"Phường 9 (thành phố Mỹ Tho), xã Tân Mỹ Chánh và xã Mỹ Phong",Phường
746,Đồng Tháp,Thới Sơn,Phường 6 (thành phố Mỹ Tho) và xã Thới Sơn,Phường
747,Đồng Tháp,Trung An,"Phường 10, xã Phước Thạnh và xã Trung An",Phường
748,Đồng Tháp,Gò Công,"Phường 1 và Phường 5 (thành phố Gò Công), phường Long Hòa",Phường
749,Đồng Tháp,Long Thuận,Phường 2 (thành phố Gò Công) và phường Long Thuận,Phường
750,Đồng Tháp,Bình Xuân,phường Long Chánh và xã Bình Xuân,Phường
751,Đồng Tháp,Sơn Qui,"phường Long Hưng, xã Tân Trung và xã Bình Đông",Phường
752,Đồng Tháp,An Bình,"các phường An Lộc, An Bình A và An Bình B",Phường
753,Đồng Tháp,Hồng Ngự,"phường An Thạnh, xã Bình Thạnh và xã Tân Hội (thành phố Hồng Ngự)",Phường
754,Đồng Tháp,Thường Lạc,"phường An Lạc, xã Thường Thới Hậu A và xã Thường Lạc",Phường
755,Đồng Tháp,Cao Lãnh,"Phường 1, Phường 3, Phường 4 và Phường 6 (thành phố Cao Lãnh), phường Hòa Thuận, các xã Hòa An, Tịnh Thới, Tân Thuận Tây, Tân Thuận Đông",Phường
756,Đồng Tháp,Mỹ Ngãi,"phường Mỹ Ngãi, xã Mỹ Tân (thành phố Cao Lãnh) và xã Tân Nghĩa",Phường
757,Đồng Tháp,Mỹ Trà,"phường Mỹ Phú và các xã Nhị Mỹ, An Bình, Mỹ Trà",Phường
758,Đồng Tháp,Sa Đéc,"Phường 1, Phường 2, Phường 3 và Phường 4 (thành phố Sa Đéc), phường An Hòa, phường Tân Quy Đông, xã Tân Khánh Đông, xã Tân Quy Tây",Phường
759,Đồng Tháp,Mỹ Phước Tây,"Phường 1 và Phường 3 (thị xã Cai Lậy), xã Mỹ Hạnh Trung, xã Mỹ Phước Tây",Phường
760,Đồng Tháp,Thanh Hòa,"Phường 2 và xã Tân Bình (thị xã Cai Lậy), xã Thanh Hòa",Phường
761,Đồng Tháp,Cai Lậy,"Phường 4 và Phường 5 (thị xã Cai Lậy), xã Long Khánh",Phường
762,Đồng Tháp,Nhị Quý,"phường Nhị Mỹ, xã Phú Quý và xã Nhị Quý",Phường
763,Gia Lai,An Nhơn Tây,xã Nhơn Lộc và xã Nhơn Tân,Xã
764,Gia Lai,Phù Cát,"thị trấn Ngô Mây, xã Cát Trinh và xã Cát Tân",Xã
765,Gia Lai,Xuân An,xã Cát Nhơn và xã Cát Tường,Xã
766,Gia Lai,Ngô Mây,"các xã Cát Hưng, Cát Thắng và Cát Chánh",Xã
767,Gia Lai,Cát Tiến,"thị trấn Cát Tiến, xã Cát Thành và xã Cát Hải",Xã
768,Gia Lai,Đề Gi,"thị trấn Cát Khánh, xã Cát Minh và xã Cát Tài",Xã
769,Gia Lai,Hòa Hội,xã Cát Hanh và xã Cát Hiệp,Xã
770,Gia Lai,Hội Sơn,xã Cát Lâm và xã Cát Sơn,Xã
771,Gia Lai,Phù Mỹ,"thị trấn Phù Mỹ, xã Mỹ Quang và xã Mỹ Chánh Tây",Xã
772,Gia Lai,An Lương,"các xã Mỹ Chánh, Mỹ Thành và Mỹ Cát",Xã
773,Gia Lai,Bình Dương,"thị trấn Bình Dương, xã Mỹ Lợi và xã Mỹ Phong",Xã
774,Gia Lai,Phù Mỹ Đông,"các xã Mỹ An, Mỹ Thọ và Mỹ Thắng",Xã
775,Gia Lai,Phù Mỹ Tây,xã Mỹ Trinh và xã Mỹ Hòa,Xã
776,Gia Lai,Phù Mỹ Nam,xã Mỹ Tài và xã Mỹ Hiệp,Xã
777,Gia Lai,Phù Mỹ Bắc,"các xã Mỹ Đức, Mỹ Châu và Mỹ Lộc",Xã
778,Gia Lai,Tuy Phước,"thị trấn Tuy Phước, thị trấn Diêu Trì và các xã Phước Thuận, Phước Nghĩa, Phước Lộc",Xã
779,Gia Lai,Tuy Phước Đông,"các xã Phước Sơn, Phước Hòa và Phước Thắng",Xã
780,Gia Lai,Tuy Phước Tây,xã Phước An và xã Phước Thành,Xã
781,Gia Lai,Tuy Phước Bắc,"các xã Phước Hiệp, Phước Hưng và Phước Quang",Xã
782,Gia Lai,Tây Sơn,"thị trấn Phú Phong, xã Tây Xuân và xã Bình Nghi",Xã
783,Gia Lai,Bình Khê,xã Tây Giang và xã Tây Thuận,Xã
784,Gia Lai,Bình Phú,"các xã Vĩnh An, Bình Tường và Tây Phú",Xã
785,Gia Lai,Bình Hiệp,"các xã Bình Thuận, Bình Tân và Tây An",Xã
786,Gia Lai,Bình An,,Xã
787,Gia Lai,Hoài Ân,"thị trấn Tăng Bạt Hổ và các xã Ân Phong, Ân Đức, Ân Tường Đông",Xã
788,Gia Lai,Ân Tường,"các xã Ân Tường Tây, Ân Hữu và Đak Mang",Xã
789,Gia Lai,Kim Sơn,xã Ân Nghĩa và xã Bok Tới,Xã
790,Gia Lai,Vạn Đức,"các xã Ân Sơn, Ân Tín và Ân Thạnh",Xã
791,Gia Lai,Ân Hảo,"các xã Ân Hảo Tây, Ân Hảo Đông và Ân Mỹ",Xã
792,Gia Lai,Vân Canh,"thị trấn Vân Canh, xã Canh Thuận, xã Canh Hòa và một phần diện tích tự nhiên, quy mô dân số của xã Canh Hiệp",Xã
793,Gia Lai,Canh Vinh,"xã Canh Vinh, xã Canh Hiển, một phần diện tích tự nhiên, quy mô dân số của xã Canh Liên và phần còn lại của xã Canh Hiệp sau khi sắp xếp theo quy định tại khoản 30 Điều này",Xã
794,Gia Lai,Canh Liên,,Xã
795,Gia Lai,Vĩnh Thạnh,thị trấn Vĩnh Thạnh và xã Vĩnh Hảo,Xã
796,Gia Lai,Vĩnh Thịnh,xã Vĩnh Hiệp và xã Vĩnh Thịnh,Xã
797,Gia Lai,Vĩnh Quang,"các xã Vĩnh Thuận, Vĩnh Hòa và Vĩnh Quang",Xã
798,Gia Lai,Vĩnh Sơn,xã Vĩnh Kim và xã Vĩnh Sơn,Xã
799,Gia Lai,An Hòa,"xã An Hòa, xã An Quang và một phần diện tích tự nhiên của xã An Nghĩa",Xã
800,Gia Lai,An Lão,"thị trấn An Lão, xã An Tân và xã An Hưng",Xã
801,Gia Lai,An Vinh,"các xã An Trung (huyện An Lão), An Dũng và An Vinh",Xã
802,Gia Lai,An Toàn,xã An Toàn và phần còn lại của xã An Nghĩa sau khi sắp xếp theo quy định tại khoản 37 Điều này,Xã
803,Gia Lai,Biển Hồ,"các xã Nghĩa Hưng, Chư Đang Ya, Hà Bầu và Biển Hồ",Xã
804,Gia Lai,Gào,"các xã Ia Kênh, Ia Pếch và Gào",Xã
805,Gia Lai,Ia Ly,"thị trấn Ia Ly, xã Ia Mơ Nông và xã Ia Kreng",Xã
806,Gia Lai,Chư Păh,"thị trấn Phú Hòa, xã Nghĩa Hòa và xã Hòa Phú",Xã
807,Gia Lai,Ia Khươl,"các xã Đăk Tơ Ver, Hà Tây và Ia Khươl",Xã
808,Gia Lai,Ia Phí,"các xã Ia Ka, Ia Nhin và Ia Phí",Xã
809,Gia Lai,Chư Prông,,Xã
810,Gia Lai,Bàu Cạn,"các xã Thăng Hưng, Bình Giáo và Bàu Cạn",Xã
811,Gia Lai,Ia Boòng,,Xã
812,Gia Lai,Ia Lâu,xã Ia Piơr và xã Ia Lâu,Xã
813,Gia Lai,Ia Pia,"các xã Ia Ga, Ia Vê và Ia Pia",Xã
814,Gia Lai,Ia Tôr,,Xã
815,Gia Lai,Chư Sê,"thị trấn Chư Sê và các xã Dun, Ia Blang, Ia Pal, Ia Glai",Xã
816,Gia Lai,Bờ Ngoong,"các xã Bar Măih, Ia Tiêm, Chư Pơng và Bờ Ngoong",Xã
817,Gia Lai,Ia Ko,"các xã Ia Hlốp, Ia Hla và Ia Ko",Xã
818,Gia Lai,Al Bá,"các xã Ayun (huyện Chư Sê), Kông Htok và Al Bá",Xã
819,Gia Lai,Chư Pưh,"thị trấn Nhơn Hòa, xã Chư Don và xã Ia Phang",Xã
820,Gia Lai,Ia Le,xã Ia Blứ và xã Ia Le,Xã
821,Gia Lai,Ia Hrú,"các xã Ia Dreng, Ia Rong, HBông và Ia Hrú",Xã
822,Gia Lai,Cửu An,,Xã
823,Gia Lai,Đak Pơ,"thị trấn Đak Pơ và các xã Hà Tam, An Thành, Yang Bắc",Xã
824,Gia Lai,Ya Hội,xã Phú An và xã Ya Hội,Xã
825,Gia Lai,Kbang,"thị trấn Kbang, xã Lơ Ku và xã Đak Smar",Xã
826,Gia Lai,Kông Bơ La,"các xã Đông, Nghĩa An và Kông Bơ La",Xã
827,Gia Lai,Tơ Tung,xã Kông Lơng Khơng và xã Tơ Tung,Xã
828,Gia Lai,Sơn Lang,xã Sơ Pai và xã Sơn Lang,Xã
829,Gia Lai,Đak Rong,xã Kon Pne và xã Đak Rong,Xã
830,Gia Lai,Kông Chro,"thị trấn Kông Chro, xã Yang Trung và xã Yang Nam",Xã
831,Gia Lai,Ya Ma,"các xã Đăk Tơ Pang, Kông Yang và Ya Ma",Xã
832,Gia Lai,Chư Krey,xã An Trung (huyện Kông Chro) và xã Chư Krey,Xã
833,Gia Lai,SRó,xã Đăk Kơ Ning và xã SRó,Xã
834,Gia Lai,Đăk Song,xã Đăk Pling và xã Đăk Song,Xã
835,Gia Lai,Chơ Long,,Xã
836,Gia Lai,Ia Rbol,,Xã
837,Gia Lai,Ia Sao,,Xã
838,Gia Lai,Phú Thiện,"thị trấn Phú Thiện và các xã Ia Sol, Ia Piar, Ia Yeng",Xã
839,Gia Lai,Chư A Thai,"các xã Ayun Hạ, Ia Ake và Chư A Thai",Xã
840,Gia Lai,Ia Hiao,,Xã
841,Gia Lai,Pờ Tó,xã Chư Răng và xã Pờ Tó,Xã
842,Gia Lai,Ia Pa,,Xã
843,Gia Lai,Ia Tul,"các xã Chư Mố, Ia Broăi, Ia Kdăm và Ia Tul",Xã
844,Gia Lai,Phú Túc,"thị trấn Phú Túc và các xã Phú Cần, Chư Ngọc, Ia Mlah, Đất Bằng",Xã
845,Gia Lai,Ia Dreh,"các xã Ia Rmok, Krông Năng và Ia Dreh",Xã
846,Gia Lai,Ia Rsai,"các xã Chư RCăm, Chư Gu và Ia Rsai",Xã
847,Gia Lai,Uar,"các xã Ia Rsươm, Chư Drăng và Uar",Xã
848,Gia Lai,Đak Đoa,"thị trấn Đak Đoa, xã Tân Bình và xã Glar",Xã
849,Gia Lai,Kon Gang,"các xã Đak Krong, Hneng, Nam Yang và Kon Gang",Xã
850,Gia Lai,Ia Băng,,Xã
851,Gia Lai,KDang,"các xã Hnol, Trang và KDang",Xã
852,Gia Lai,Đak Sơmei,xã Hà Đông và xã Đak Sơmei,Xã
853,Gia Lai,Mang Yang,"thị trấn Kon Dơng và các xã Đăk Yă, Đak Djrăng, Hải Yang",Xã
854,Gia Lai,Lơ Pang,"các xã Đê Ar, Kon Thụp và Lơ Pang",Xã
855,Gia Lai,Kon Chiêng,xã Đak Trôi và xã Kon Chiêng,Xã
856,Gia Lai,Hra,xã Đak Ta Ley và xã Hra,Xã
857,Gia Lai,Ayun,,Xã
858,Gia Lai,Ia Grai,"thị trấn Ia Kha, xã Ia Bă và xã Ia Grăng",Xã
859,Gia Lai,Ia Krái,"các xã Ia Tô, Ia Khai và Ia Krái",Xã
860,Gia Lai,Ia Hrung,,Xã
861,Gia Lai,Đức Cơ,,Xã
862,Gia Lai,Ia Dơk,,Xã
863,Gia Lai,Ia Krêl,"các xã Ia Lang, Ia Din và Ia Krêl",Xã
864,Gia Lai,Quy Nhơn,"các phường Đống Đa (thành phố Quy Nhơn), Hải Cảng, Thị Nại và Trần Phú",Phường
865,Gia Lai,Quy Nhơn Đông,"phường Nhơn Bình và các xã Nhơn Hội, Nhơn Lý, Nhơn Hải",Phường
866,Gia Lai,Quy Nhơn Tây,phường Bùi Thị Xuân và xã Phước Mỹ,Phường
867,Gia Lai,Quy Nhơn Nam,"các phường Ngô Mây (thành phố Quy Nhơn), Nguyễn Văn Cừ, Quang Trung và Ghềnh Ráng",Phường
868,Gia Lai,Quy Nhơn Bắc,phường Trần Quang Diệu và phường Nhơn Phú,Phường
869,Gia Lai,Bình Định,"phường Bình Định, xã Nhơn Khánh và xã Nhơn Phúc",Phường
870,Gia Lai,An Nhơn,"phường Đập Đá, xã Nhơn Mỹ và xã Nhơn Hậu",Phường
871,Gia Lai,An Nhơn Đông,phường Nhơn Hưng và xã Nhơn An,Phường
872,Gia Lai,An Nhơn Nam,phường Nhơn Hòa và xã Nhơn Thọ,Phường
873,Gia Lai,An Nhơn Bắc,"phường Nhơn Thành, xã Nhơn Phong và xã Nhơn Hạnh",Phường
874,Gia Lai,Bồng Sơn,phường Hoài Đức và phường Bồng Sơn,Phường
875,Gia Lai,Hoài Nhơn,"các phường Hoài Thanh, Tam Quan Nam và Hoài Thanh Tây",Phường
876,Gia Lai,Tam Quan,phường Tam Quan và xã Hoài Châu,Phường
877,Gia Lai,Hoài Nhơn Đông,"phường Hoài Hương, xã Hoài Hải và xã Hoài Mỹ",Phường
878,Gia Lai,Hoài Nhơn Tây,phường Hoài Hảo và xã Hoài Phú,Phường
879,Gia Lai,Hoài Nhơn Nam,phường Hoài Tân và phường Hoài Xuân,Phường
880,Gia Lai,Hoài Nhơn Bắc,"phường Tam Quan Bắc, xã Hoài Sơn và xã Hoài Châu Bắc",Phường
881,Gia Lai,Pleiku,"các phường Tây Sơn (thành phố Pleiku), Hội Thương, Hoa Lư, Phù Đổng và xã Trà Đa",Phường
882,Gia Lai,Hội Phú,,Phường
883,Gia Lai,Thống Nhất,,Phường
884,Gia Lai,Diên Hồng,,Phường
885,Gia Lai,An Phú,,Phường
886,Gia Lai,An Khê,,Phường
887,Gia Lai,An Bình,,Phường
888,Gia Lai,Ayun Pa,,Phường
889,Hà Nội,Hoàn Kiếm,"các phường Hàng Bạc, Hàng Bồ, Hàng Buồm, Hàng Đào, Hàng Gai, Hàng Mã, Lý Thái Tổ và một phần diện tích tự nhiên, quy mô dân số của các phường Cửa Đông, Cửa Nam, Điện Biên, Đồng Xuân, Hàng Bông, Hàng Trống, Tràng Tiền",Phường
890,Hà Nội,Cửa Nam,"các phường Hàng Bài, Phan Chu Trinh, Trần Hưng Đạo, một phần diện tích tự nhiên, quy mô dân số của các phường Cửa Nam, Nguyễn Du, Phạm Đình Hổ và phần còn lại của các phường Hàng Bông, Hàng Trống, Tràng Tiền sau khi sắp xếp theo quy định tại khoản 1 Điều này",Phường
891,Hà Nội,Ba Đình,"phường Quán Thánh, phường Trúc Bạch, một phần diện tích tự nhiên, quy mô dân số của các phường Cửa Nam, Điện Biên, Đội Cấn, Kim Mã, Ngọc Hà, một phần diện tích tự nhiên của phường Thụy Khuê, phần còn lại của phường Cửa Đông và phường Đồng Xuân sau khi sắp xếp theo quy định tại khoản 1 Điều này",Phường
892,Hà Nội,Ngọc Hà,"phường Vĩnh Phúc, phường Liễu Giai, một phần diện tích tự nhiên, quy mô dân số của các phường Cống Vị, Kim Mã, Ngọc Khánh, Nghĩa Đô, phần còn lại của phường Đội Cấn và phường Ngọc Hà sau khi sắp xếp theo quy định tại khoản 3 Điều này",Phường
893,Hà Nội,Giảng Võ,"phường Giảng Võ, một phần diện tích tự nhiên, quy mô dân số của các phường Cát Linh, Láng Hạ, Ngọc Khánh, Thành Công, phần còn lại của phường Cống Vị sau khi sắp xếp theo quy định tại khoản 4 Điều này và phần còn lại của phường Kim Mã sau khi sắp xếp theo quy định tại khoản 3, khoản 4 Điều này",Phường
