STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
62,An Giang,Thạnh Hưng,"các xã Thạnh Lộc (huyện Giồng Riềng), Thạnh Phước và Thạnh Hưng",Xã
63,An Giang,Long Thạnh,"các xã Vĩnh Phú (huyện Giồng Riềng), Vĩnh Thạnh và Long Thạnh",Xã
64,An Giang,Hòa Hưng,"các xã Hòa An (huyện Giồng Riềng), Hòa Lợi và Hòa Hưng",Xã
65,An Giang,Ngọc Chúc,"các xã Ngọc Thuận, Ngọc Thành và Ngọc Chúc",Xã
66,An Giang,Hòa Thuận,xã Ngọc Hòa và xã Hòa Thuận,Xã
67,An Giang,Tân Hội,"xã Tân Hòa và xã Tân An (huyện Tân Hiệp), xã Tân Thành, xã Tân Hội",Xã
68,An Giang,Tân Hiệp,"thị trấn Tân Hiệp và các xã Tân Hiệp B, Thạnh Đông B, Thạnh Đông",Xã
69,An Giang,Thạnh Đông,"các xã Tân Hiệp A, Thạnh Trị và Thạnh Đông A",Xã
70,An Giang,Thạnh Lộc,"các xã Thạnh Lộc (huyện Châu Thành), Mong Thọ, Mong Thọ A và Mong Thọ B",Xã
71,An Giang,Châu Thành,"thị trấn Minh Lương, xã Minh Hòa và xã Giục Tượng",Xã
72,An Giang,Bình An,"các xã Bình An (huyện Châu Thành), Vĩnh Hòa Hiệp và Vĩnh Hòa Phú",Xã
73,An Giang,Hòn Đất,"thị trấn Hòn Đất và các xã Lình Huỳnh, Thổ Sơn, Nam Thái Sơn",Xã
74,An Giang,Sơn Kiên,"các xã Sơn Bình, Mỹ Thái và Sơn Kiên",Xã
75,An Giang,Mỹ Thuận,"thị trấn Sóc Sơn và các xã Mỹ Hiệp Sơn, Mỹ Phước, Mỹ Thuận",Xã
76,An Giang,Hòa Điền,xã Kiên Bình và xã Hòa Điền,Xã
77,An Giang,Kiên Lương,"thị trấn Kiên Lương, xã Bình An (huyện Kiên Lương) và xã Bình Trị",Xã
78,An Giang,Giang Thành,"các xã Tân Khánh Hòa, Phú Lợi và Phú Mỹ",Xã
79,An Giang,Vĩnh Điều,xã Vĩnh Phú (huyện Giang Thành) và xã Vĩnh Điều,Xã
80,An Giang,Long Xuyên,"các phường Mỹ Bình, Mỹ Long, Mỹ Xuyên, Mỹ Phước, Mỹ Quý và Mỹ Hòa",Phường
81,An Giang,Bình Đức,"phường Bình Khánh, phường Bình Đức và xã Mỹ Khánh",Phường
82,An Giang,Mỹ Thới,phường Mỹ Thạnh và phường Mỹ Thới,Phường
83,An Giang,Châu Đốc,"các phường Vĩnh Nguơn, Châu Phú A, Châu Phú B, Vĩnh Mỹ và một phần diện tích tự nhiên, quy mô dân số của xã Vĩnh Châu",Phường
84,An Giang,Vĩnh Tế,"phường Núi Sam, xã Vĩnh Tế và phần còn lại của xã Vĩnh Châu sau khi sắp xếp theo quy định tại khoản 83 Điều này",Phường
85,An Giang,Tân Châu,phường Long Thạnh và phường Long Sơn,Phường
86,An Giang,Long Phú,"các phường Long Hưng, Long Châu và Long Phú",Phường
87,An Giang,Tịnh Biên,"phường An Phú, phường Tịnh Biên và xã An Nông",Phường
88,An Giang,Thới Sơn,"các phường Nhơn Hưng, Nhà Bàng và Thới Sơn",Phường
89,An Giang,Chi Lăng,"phường Núi Voi, phường Chi Lăng và xã Tân Lợi",Phường
90,An Giang,Vĩnh Thông,"phường Vĩnh Thông, xã Phi Thông và xã Mỹ Lâm",Phường
91,An Giang,Rạch Giá,"các phường Vĩnh Quang, Vĩnh Thanh, Vĩnh Thanh Vân, Vĩnh Lạc, An Hòa, Vĩnh Hiệp, An Bình, Rạch Sỏi và Vĩnh Lợi",Phường
92,An Giang,Hà Tiên,"các phường Pháo Đài, Bình San, Mỹ Đức và Đông Hồ",Phường
93,An Giang,Tô Châu,"phường Tô Châu, xã Thuận Yên và xã Dương Hòa",Phường
94,Bắc Ninh,Chi Lăng,xã Yên Giả và xã Chi Lăng,Xã
95,Bắc Ninh,Phù Lãng,"các xã Châu Phong, Đức Long và Phù Lãng",Xã
96,Bắc Ninh,Yên Phong,"thị trấn Chờ và các xã Trung Nghĩa, Long Châu, Đông Tiến",Xã
97,Bắc Ninh,Văn Môn,"các xã Yên Phụ, Đông Thọ và Văn Môn",Xã
98,Bắc Ninh,Tam Giang,xã Hòa Tiến và xã Tam Giang,Xã
99,Bắc Ninh,Yên Trung,xã Dũng Liệt và xã Yên Trung,Xã
100,Bắc Ninh,Tam Đa,"các xã Thụy Hòa, Đông Phong và Tam Đa",Xã
101,Bắc Ninh,Tiên Du,"thị trấn Lim, xã Nội Duệ và xã Phú Lâm",Xã
102,Bắc Ninh,Liên Bão,"các xã Hiên Vân, Việt Đoàn và Liên Bão",Xã
103,Bắc Ninh,Tân Chi,xã Lạc Vệ và xã Tân Chi,Xã
104,Bắc Ninh,Đại Đồng,"các xã Tri Phương, Hoàn Sơn và Đại Đồng",Xã
